Typ zájmena,Základní tvar,Skloňování,Ukázka Významu,Poznámka
Osobní,aham,ano,„já“,plně se skloňuje
Ukazovací,saḥ/sā/tat,ano,„on/ona/ono“,často v kombinaci s podst. jm.
Tázací,kaḥ/kā/kiṃ,ano,„kdo?/co?“,
Vztažné,yaḥ/yā/yat,ano,„který/která/které“,např. „ten/kdo...“
Zvratné,svayam,ano,„sám/sama/samo“,používá se pro zdůraznění
Zájmeno,ty,ano,„ty“,používá se v různých pádech
Zájmeno,my,ano,„my“,používá se v různých pádech
Zájmeno,váš,ano,„váš“,používá se v různých pádech
Zájmeno,oni,ano,„oni“,používá se v různých pádech
Zájmeno,ona,ano,„ona“,používá se v různých pádech
Zájmeno,ono,ano,„ono“,používá se v různých pádech
Zájmeno,my dva,ano,„my dva“,používá se v různých pádech
Zájmeno,vás dva,ano,„vás dva“,používá se v různých pádech
Zájmeno,oni dva,ano,„oni dva“,používá se v různých pádech
Zájmeno,ona dvě,ano,„ona dvě“,používá se v různých pádech
Zájmeno,ono dvě,ano,„ono dvě“,používá se v různých pádech
Zájmeno,my všichni,ano,„my všichni“,používá se v různých pádech
Zájmeno,vás všichni,ano,„vás všichni“,používá se v různých pádech
Zájmeno,oni všichni,ano,„oni všichni“,používá se v různých pádech
Zájmeno,ona všechny,ano,„ona všechny“,používá se v různých pádech
Zájmeno,ono všechna,ano,„ono všechna“,používá se v různých pádech
Zájmeno,ty dva,ano,„ty dva“,používá se v různých pádech
Zájmeno,ty dvě,ano,„ty dvě“,používá se v různých pádech
Zájmeno,ty všichni,ano,„ty všichni“,používá se v různých pádech
Zájmeno,ty všechny,ano,„ty všechny“,používá se v různých pádech
Zájmeno,ty všechna,ano,„ty všechna“,používá se v různých pádech
